"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNORSWHLMLTCDEIJAH00807160";2024;2;1;1;1;"S";33;794;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;5;3;2;0;1;1;2;2;0;2;0;1;"";1;"";2;1;1;2;1;2;2;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;892000;"7";"";"7";"7";"";"7";223000;"5";"";"5";"5";"";"6";1683;1;0;98;0;0;0
"TQRMNOXUQHLKLUCDEIJAH00807161";2024;2;1;1;1;"S";33;158;2;"";1;1;"";2;1;1;1;"";1;1;1;2;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;0;0;0
"TQRMNOQPSHMLLQCDEIJAH00802189";2024;2;1;1;1;"S";33;267;1;"";3;1;"";3;1;1;1;"";1;1;1;2;2;2;2;3;2;2;0;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;4;1;3;980000;"8";"";"7";"7";"";"8";245000;"5";"";"5";"5";"";"6";539;1;2;98;0;0;0
"TQRMNORSRHMLLQCDEIJAH00802190";2024;2;1;1;1;"S";33;277;1;"";4;1;"";4;1;1;2;"";1;1;1;3;2;2;2;4;1;2;0;1;2;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;160000;"1";"";"1";"1";"";"1";53333,33;"1";"";"1";"1";"";"1";412;1;2;98;0;0;0
"TQRMNOTURHMOLRCDEIJAH00802191";2024;2;1;1;1;"S";33;1252;1;"";2;2;"";5;2;1;1;"";1;1;2;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;2;3;0;0
"TQRMNOPWYHMMLSCDEIJAH00858579";2024;2;1;1;1;"S";33;773;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;2;2;2;1;0;1;300000;"2";"";"2";"2";"";"2";300000;"6";"";"6";"6";"";"7";1218;1;0;98;0;0;0
"TQRMNOTQSHJMMSCDEIJAH00861773";2024;2;1;1;1;"S";33;1056;1;"";2;1;"";4;1;1;2;"";1;1;1;2;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1120000;"8";"";"8";"8";"";"8";280000;"6";"";"6";"6";"";"7";2179;3;0;2;1;0;0
"TQRMNOSSPHLMMLCDEIJAH00807514";2024;2;1;1;1;"S";33;1595;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;531000;"5";"";"4";"4";"";"5";265500;"6";"";"6";"6";"";"6";3640;2;0;98;0;0;0
"TQRMNOSXSHLNMNCDEIJAH00861774";2024;2;1;1;1;"S";33;3266;1;"";3;1;"";4;1;1;1;"";1;1;1;3;2;1;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;5;2;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOQWPHJMLMCDEIJAH00861775";2024;2;1;1;1;"S";33;2261;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;1;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;240000;"2";"";"2";"1";"";"2";240000;"5";"";"5";"5";"";"6";2821;1;0;98;0;0;0
"TQRMNOSSRHMMKSCDEIJAH00858505";2024;2;1;1;1;"S";33;2522;2;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;800000;"7";"";"6";"6";"";"7";800000;"10";"";"10";"10";"";"10";2615;1;0;98;0;0;0
"TQRMNOQWTHJKLNCDEIJAH00861776";2024;2;1;1;1;"S";33;1543;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;2;2;2700000;"10";"";"10";"10";"";"10";675000;"9";"";"9";"9";"";"10";2943;1;2;98;0;0;0
"TQRMNOSPYHJMLPCDEIJAH00861777";2024;2;1;1;1;"S";33;1827;1;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOPPVHLNKSCDEIJAH00812619";2024;2;1;1;1;"S";33;2775;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;441000;"4";"";"3";"4";"";"4";147000;"3";"";"3";"3";"";"3";5330;1;0;96;0;0;0
"TQRMNORUVHLOKTCDEIJAH00807191";2024;2;1;1;1;"S";33;250;1;"";4;2;"";4;1;1;2;"";1;1;1;2;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;7;2;5;600000;"5";"";"5";"5";"";"5";85714,29;"1";"";"1";"1";"";"2";609;3;0;98;0;0;0
"TQRMNOTVQHLMKUCDEIJAH00807193";2024;2;1;1;1;"S";33;181;1;"";2;2;"";2;1;1;2;"";1;1;2;3;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOPVQHLMLLCDEIJAH00807194";2024;2;1;1;1;"S";33;4588;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;4;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;600000;"5";"";"5";"5";"";"5";150000;"3";"";"3";"3";"";"3";9723;1;0;2;0;0;0
"TQRMNOSYRHJOLTCDEIJAH00861778";2024;2;1;1;1;"S";33;3771;1;"";3;1;"";4;2;1;1;"";1;1;2;3;2;1;2;3;2;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;1;2;2;2;2;7;2;5;472000;"4";"";"4";"4";"";"4";67428,57;"1";"";"1";"1";"";"1";6363;1;0;2;3;0;0
"TQRMNOPWYHLOLNCDEIJAH00807195";2024;2;1;1;1;"S";33;688;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1481000;"9";"";"9";"9";"";"9";370250;"7";"";"7";"7";"";"8";1119;1;2;98;0;0;0
"TQRMNOVVTHKMLPCDEIJAH00858513";2024;2;1;1;1;"S";33;3366;2;"";4;2;"";4;1;1;2;"";1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;5;0;5;1326000;"9";"";"8";"9";"";"9";265200;"6";"";"6";"6";"";"6";6489;1;2;98;0;0;0
"TQRMNORYRHLKLPCDEIJAH00807226";2024;2;1;1;1;"S";33;1049;1;"";4;1;"";3;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;97;0;0;0
"TQRMNORYTHLKLPCDEIJAH00812693";2024;2;1;1;1;"S";33;1491;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOQYXHJLNNCDEIIAD00861779";2024;2;1;1;1;"S";32;1366;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;0;1;2000000;"10";"";"10";"10";"";"9";2000000;"10";"";"10";"10";"";"10";1514;1;0;98;0;0;0
"TQRMNOSSUHKLNSCDEIIAD00859010";2024;2;1;1;1;"S";32;2151;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;0;2;870000;"7";"";"7";"7";"";"5";435000;"8";"";"8";"8";"";"6";2438;1;0;98;0;0;0
"TQRMNOSSWHKLNSCDEIIAD00858565";2024;2;1;1;1;"S";32;3678;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;6;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;175000;"1";"";"1";"1";"";"1";175000;"4";"";"4";"4";"";"2";3949;1;0;98;0;0;0
"TQRMNOSQUHJKNOCDEIIAD00861780";2024;2;1;1;1;"S";32;791;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;98;0;0;0
"TQRMNOQXYHMONQCDEIIAD00801749";2024;2;1;1;1;"S";32;4909;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;1430000;"9";"";"9";"9";"";"8";357500;"7";"";"7";"7";"";"5";6922;1;2;98;0;0;0
"TQRMNORSUHMNNRCDEIIAD00801780";2024;2;1;1;1;"S";32;2169;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;4;2;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;3450000;"10";"";"10";"10";"";"10";1150000;"10";"";"10";"10";"";"9";4699;1;2;3;0;0;0
"TQRMNOVQVHMNNTCDEIIAD00861781";2024;2;1;1;1;"S";32;2387;1;"";99;1;"";2;1;1;1;"";1;1;1;1;2;2;2;5;1;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;1;0;1;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;97;0;0;0
"TQRMNORPVHMLNUCDEIIAD00801783";2024;2;1;1;1;"S";32;67;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;0;2;1620000;"9";"";"9";"9";"";"8";810000;"10";"";"10";"10";"";"9";83;1;0;98;0;0;0
"TQRMNORVPHJNNSCDEIIAD00861782";2024;2;1;1;1;"S";32;1435;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;0;0;0
"TQRMNOQQYHMMOLCDEIIAD00801784";2024;2;1;1;1;"S";32;1260;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;"";4;"ELECTRICA";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2500000;"10";"";"10";"10";"";"10";1250000;"10";"";"10";"10";"";"10";2534;1;2;98;0;0;0
"TQRMNORYRHMMOLCDEIIAD00801652";2024;2;2;1;1;"S";32;828;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;1;1;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1600000;"9";"";"9";"9";"";"8";1600000;"10";"";"10";"10";"";"10";1012;1;0;98;0;0;0
"TQRMNOSTYHLLNUCDEIIAD00861783";2024;2;1;1;1;"S";32;62;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;600000;"5";"";"5";"5";"";"4";600000;"9";"";"9";"9";"";"7";76;96;0;1;0;0;0
"TQRMNOSWSHMNOMCDEIIAD00806860";2024;2;1;1;1;"S";32;3605;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;4;"";1;"";1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;170000;"1";"";"1";"1";"";"1";170000;"4";"";"3";"3";"";"1";4730;1;0;97;0;0;0
"TQRMNORWQHMMOOCDEIIAD00801785";2024;2;1;1;1;"S";32;1541;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;5;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;700000;"6";"";"6";"6";"";"4";700000;"9";"";"9";"9";"";"8";2054;1;0;98;0;0;0
"TQRMNOPXXHMOSPCDEIJAH00802267";2024;2;1;1;1;"S";33;3361;1;"";3;2;"";4;1;1;1;"";1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;1;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;0;2;338000;"2";"";"2";"2";"";"3";169000;"3";"";"3";"3";"";"4";4986;2;0;1;0;0;0
"TQRMNOSTPHMOSPCDEIJAH00802268";2024;2;1;1;1;"S";33;3900;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQTMNORQXHMOSQCDEIJAH00802270";2024;2;1;1;1;"S";33;2645;1;"";2;2;"";4;2;1;1;"";1;1;1;3;1;1;2;2;2;2;0;2;2;2;0;0;0;0;2;"";2;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;638000;"5";"";"5";"5";"";"5";212666,67;"5";"";"5";"5";"";"5";3513;1;0;2;3;0;0
"TQRMNOQWWHJMSUCDEIJAH00861784";2024;2;1;1;1;"S";33;3258;1;"";3;2;"";4;2;1;1;"";1;1;1;1;1;1;2;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;1;2;2;2;2;2;2;5;1;4;524000;"4";"";"4";"4";"";"5";104800;"2";"";"2";"2";"";"2";6384;1;2;98;0;0;0
"TQSMNORRTHKNRPCDEIJAH00858889";2024;2;1;1;1;"S";33;3628;4;"";1;1;"";4;1;1;2;"";1;1;1;3;2;1;2;1;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;0;0;0
"TQRMNORVPHKKRRCDEIJAH00858890";2024;2;1;1;1;"S";33;1079;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;0;1;700000;"6";"";"6";"6";"";"6";700000;"10";"";"9";"9";"";"10";1428;1;0;98;0;0;0
"TQRMNORVQHKKRRCDEIJAH00861785";2024;2;1;1;1;"S";33;1323;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1600000;"9";"";"9";"9";"";"9";800000;"10";"";"10";"10";"";"10";1719;1;0;98;0;0;0
"TQRMNORYUHKNRTCDEIJAH00861786";2024;2;1;1;1;"S";33;679;1;"";3;1;"";4;2;1;2;"";1;1;1;1;2;1;2;3;3;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;4;1;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;4;3;0;0
"TQRMNORWPHLLQLCDEIJAH00807127";2024;2;1;1;1;"S";33;2629;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;1;2;3;3;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1001000;"8";"";"8";"8";"";"8";200200;"4";"";"4";"4";"";"5";4634;2;0;1;0;0;0
"TQRMNORTYHJLQRCDEIJAH00861787";2024;2;1;1;1;"S";33;1678;1;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;4;2;1;1;1;2;1;2;0;1;1;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;1;2;2;2;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;96;0;0;0
"TQRMNOTPSHMOQQCDEIJAH00802277";2024;2;1;1;1;"S";33;2054;1;"";3;1;"";4;1;1;1;"";1;1;2;2;2;2;2;3;2;1;1;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOPSTHJMOMCDEIIAD00861788";2024;2;1;1;1;"S";32;1612;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;1;3;4;0
"TQRMNOPSUHJMOMCDEIIAD00861789";2024;2;1;1;1;"S";32;1451;1;"";6;1;"";3;1;1;1;"";1;1;1;1;2;2;2;6;3;1;1;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;4;0;4;6110000;"10";"";"10";"10";"";"10";1527500;"10";"";"10";"10";"";"10";3858;96;0;1;2;0;0
"TQRMNOSRWHJLONCDEIIAD00861790";2024;2;1;1;1;"S";32;5324;1;"";5;1;"";1;2;1;1;"";1;1;1;1;2;1;2;5;2;1;2;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;1;2;800000;"7";"";"6";"6";"";"5";266666,67;"6";"";"6";"6";"";"3";7839;1;0;98;0;0;0
"TQRMNOTTQHLLOQCDEIIAD00806864";2024;2;1;1;1;"S";32;2119;2;"";1;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOTQSHKOKMCDEIJAH00858472";2024;2;1;1;1;"S";33;3203;1;"";3;1;"";4;1;1;2;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;0;2;3;4;0
"TQRMNOPSWHLMKMCDEIJAH00807241";2024;2;1;1;1;"S";33;2029;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOQSTHJKKMCDEIJAH00861791";2024;2;1;1;1;"S";33;3294;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;1100000;"8";"";"8";"8";"";"8";366666,67;"7";"";"7";"7";"";"8";6808;1;2;3;0;0;0
"TQRMNORSSHLLKNCDEIJAH00807242";2024;2;1;1;1;"S";33;1809;2;"";2;1;"";9;2;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;3;0;0;0
"TQRMNOQVPHKNKOCDEIJAH00858486";2024;2;1;1;1;"S";33;1714;1;"";3;1;"";2;1;1;2;"";1;1;1;2;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;204000;"1";"";"1";"1";"";"1";204000;"4";"";"4";"4";"";"5";2441;97;0;97;0;0;0
"TQRMNOPWWHKMKPCDEIJAH00858488";2024;2;1;1;1;"S";33;2415;1;"";4;1;"";4;1;1;2;"";1;1;1;2;2;2;2;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;0;2;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;1;2;98;0;0;0
"TQRMNORTYHLLKOCDEIJAH00861792";2024;2;1;1;1;"S";33;1655;2;"";3;1;"";3;1;3;4;"va a buscar agua de la casa de la tiaen el ba";2;0;0;0;2;1;2;3;1;2;0;1;2;2;2;0;2;0;6;"";1;"";4;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;240000;"2";"";"2";"2";"";"2";240000;"5";"";"5";"5";"";"6";1552;1;0;98;0;0;0
"TQRMNOQVQHJKKQCDEIJAH00861793";2024;2;1;1;1;"S";33;1256;2;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;3;0;0;0
"TQRMNOQQYHJOLLCDEIJAH00861794";2024;2;1;1;1;"S";33;5505;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;2;0;98;0;0;0
"TQRMNOQRWHJOLLCDEIJAH00861795";2024;2;1;1;1;"S";33;3868;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;650000;"6";"";"5";"5";"";"6";162500;"3";"";"3";"3";"";"4";5833;2;0;98;0;0;0
"TQRMNOPRQHKMNRCDEIJAH00858591";2024;2;1;1;1;"S";33;2045;1;"";3;1;"";4;1;1;2;"";1;1;1;2;2;2;2;3;2;2;0;2;1;2;2;0;2;0;3;"";2;"";1;9;9;2;2;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;1;4;0;"12";"";"12";"12";"";"12";0;"12";"";"12";"12";"";"12";0;98;0;98;0;0;0
"TQRMNOTWQHLMNSCDEIJAH00807120";2024;2;1;1;1;"S";33;1083;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;4;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;400000;"3";"";"3";"3";"";"3";200000;"4";"";"4";"4";"";"5";1257;1;0;98;0;0;0
